delta_net_http,after_net_http,delta_subprocess_exec,after_subprocess_exec,delta_env_cred_access,after_env_cred_access,delta_filesystem,after_filesystem,delta_encoded_blob,after_encoded_blob,delta_install_hook,after_install_hook,delta_obfuscation,after_obfuscation,delta_loc,delta_char,entropy_before,entropy_after,delta_entropy,delta_longest_token,ast_nodes_after,package,ecosystem,version_after_date,label
0,5,0,0,0,13,0,0,0,0,0,0,0,0,0,0,5.143,5.143,0.0,0,-1,spiderai,pypi,2024-11-28T14:36:00.947425Z,1
0,5,0,0,0,13,0,0,0,0,0,0,0,0,53,2252,5.143,5.008,-0.135,0,-1,spiderai,pypi,2024-11-29T07:38:59.438561Z,1
-8,3,1,1,-1,0,-2,0,0,0,0,1,-1,0,-2598,-92830,4.711,4.931,0.22,-7065,-1,PirxcyPackage,pypi,2020-10-23T08:33:53.757125Z,1
2,9,2,8,0,0,0,0,0,0,0,0,0,0,178,5030,4.785,4.772,-0.013,0,-1,cloud-pc-templates,npm,2026-05-16T03:41:24.037Z,1
0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4.722,4.726,0.004,0,62,edu-npm-dependency-chain-demo,npm,2026-06-11T08:23:30.028Z,1
0,37,0,6,0,0,0,0,0,0,0,0,0,5,8,290,3.033,3.068,0.035,0,-1,88q,npm,2021-01-05T04:39:12.098Z,1
3,65,0,6,0,0,0,0,0,0,0,0,0,5,24,887,3.776,3.799,0.023,0,-1,88q,npm,2021-01-14T03:23:18.034Z,1
6,45,0,6,0,0,0,0,0,0,0,0,0,5,17,660,3.27,3.328,0.058,0,-1,88q,npm,2021-01-06T08:10:37.504Z,1
0,72,0,6,0,0,0,0,0,0,0,0,0,5,0,-1,4.242,4.242,0.0,0,-1,88q,npm,2021-01-07T13:08:28.767Z,1
0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.844,4.832,-0.012,0,-1,88q,npm,2020-12-01T17:28:57.302Z,1
0,39,0,6,0,0,0,0,0,0,0,0,0,5,1,104,3.263,3.269,0.006,0,-1,88q,npm,2021-01-05T11:11:56.044Z,1
-2,63,0,6,0,0,0,0,0,0,0,0,0,5,-24,-847,3.799,3.778,-0.021,0,-1,88q,npm,2021-01-14T03:27:47.308Z,1
0,37,0,6,0,0,0,0,0,0,0,0,0,5,1,92,3.237,3.248,0.011,0,-1,88q,npm,2021-01-05T05:09:46.547Z,1
0,64,0,6,0,0,0,0,0,0,0,0,0,5,0,2,3.781,3.78,-0.001,0,-1,88q,npm,2021-01-14T03:09:39.849Z,1
2,72,0,6,0,0,0,0,0,0,0,0,0,5,0,127,4.235,4.239,0.004,0,-1,88q,npm,2021-01-07T08:09:50.277Z,1
0,35,-1,6,0,0,0,0,0,0,0,0,0,5,101,3789,2.839,3.018,0.179,0,-1,88q,npm,2021-01-05T03:57:51.147Z,1
0,72,0,6,0,0,0,0,0,0,0,0,0,5,3,58,4.239,4.242,0.003,0,-1,88q,npm,2021-01-07T13:05:11.850Z,1
0,39,0,6,0,0,0,0,0,0,0,0,0,5,1,58,3.258,3.263,0.005,0,-1,88q,npm,2021-01-05T11:04:09.705Z,1
0,39,0,6,0,0,0,0,0,0,0,0,0,5,0,6,3.269,3.27,0.001,0,-1,88q,npm,2021-01-05T11:37:13.631Z,1
-2,62,0,6,0,0,0,0,0,0,0,0,0,5,0,-76,3.78,3.776,-0.004,0,-1,88q,npm,2021-01-14T03:21:33.607Z,1
2,47,0,6,0,0,0,0,0,0,0,0,0,5,2,117,3.328,3.339,0.011,0,-1,88q,npm,2021-01-06T08:26:41.665Z,1
23,70,0,6,0,0,0,0,0,0,0,0,0,5,418,17018,3.628,4.235,0.607,42,-1,88q,npm,2021-01-07T05:02:47.869Z,1
0,37,0,6,0,0,0,0,0,0,0,0,0,5,0,-8,3.248,3.247,-0.001,0,-1,88q,npm,2021-01-05T07:05:07.360Z,1
0,0,0,0,0,1,0,0,0,0,0,0,0,0,-29,-554,5.114,5.107,-0.007,0,-1,sklern,pypi,2026-05-22T07:47:29.614602Z,1
